Tipo de actividad;Fecha;Favorito;Título;Distancia;Calorías;Tiempo;Frecuencia cardiaca media;Frecuencia cardiaca máxima;TE aeróbico;Cadencia de carrera media;Cadencia de carrera máxima;Ritmo medio;Ritmo óptimo;Ascenso total;Descenso total;Longitud media de zancada;Relación vertical media;Oscilación vertical media;Tiempo medio de contacto con el suelo;Cadencia de carrera media;Cadencia de carrera máxima;Training Stress Score®;Potencia media;Potencia máxima;Dificultad;Fluidez;Swolf medio;Velocidad media de palada;Repeticiones totales;Tiempo de inmersión;Temperatura mínima;Intervalo en superficie;Descompresión;Mejor tiempo de vuelta;Número de vueltas;Temperatura máxima;Tiempo en movimiento;Tiempo transcurrido;Altura mínima;Altura máxima
Trail running;06/03/2022 8:38;false;Valsequillo de Gran Canaria Trail running;18.00;1,407;3:24:53;0;0;--;105;245;11:23;4:16;1,179;1,182;0.84;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;03:24:53.14.7;1;26.0;3:06:49;3:24:53;773;1.519
Carrera;03/03/2022 17:24;false;Santa Brígida Carrera;4.19;356;0:24:29;155;189;3.0;171;189;5:50;3:28;83;116;1.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;01:19.62.8;5;27.0;0:24:19;0:24:29;450;555
Carrera;01/03/2022 16:28;false;Santa Brígida - Series 1000x6;12.69;934;1:10:50;156;192;3.9;161;195;5:35;3:14;125;125;1.09;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;00:07.97.1;20;26.0;1:10:21;1:12:20;475;508
Carrera;26/02/2022 16:40;false;Santa Brígida Carrera;7.20;523;0:42:39;144;174;2.6;170;241;5:56;3:46;108;134;0.99;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;01:07.81.9;8;26.0;0:42:29;0:50:40;476;560
Trail running;24/02/2022 9:03;false;Santa Brígida Trail running;14.84;1,317;1:41:39;150;176;3.5;157;239;6:51;4:44;279;282;0.93;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;01:41:38.79.8;1;28.0;1:39:21;1:43:08;245;528
Carrera;22/02/2022 10:24;false;Santa Brígida Carrera;12.00;1,02;1:07:35;164;179;4.2;172;184;5:38;4:16;128;141;1.03;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;00:01.12;13;28.0;1:07:24;1:07:35;478;514
Trail running;17/02/2022 8:34;false;Santa Brígida Trail running;15.01;1,229;1:37:53;151;181;3.4;162;240;6:31;4:57;245;259;0.95;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;01:37:53.08.9;1;29.0;1:37:53;1:39:40;353;528
Carrera;13/02/2022 17:55;false;Santa Brígida Carrera;1.77;122;00:08:49.7;147;166;2.1;172;183;4:59;3:53;11;50;1.17;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;03:28.36.5;2;24.0;0:08:44;0:17:12;491;541
Trail running;12/02/2022 10:19;false;Tejeda Trail running;11.41;1,279;1:24:28;165;185;4.6;139;249;7:24;3:24;578;583;0.97;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;01:24:27.74.6;1;31.0;1:24:04;1:24:28;770;1.138
Trail running;05/02/2022 7:04;false;Teror Trail running;12.68;1,234;2:10:48;139;170;3.2;111;248;10:19;4:01;698;702;0.87;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;02:10:48.35.1;1;26.0;2:00:50;2:10:48;462;921
Carrera;03/02/2022 9:22;false;Santa Brígida Carrera;10.00;819;0:55:02;161;184;4.1;173;185;5:30;3:50;142;168;1.05;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:01.81;11;27.0;0:54:55;0:57:28;481;531
Trail running;29/01/2022 8:21;false;Santa Brígida Trail running;15.02;1,165;1:29:26;153;172;3.7;166;219;5:57;3:37;245;264;1.01;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;18.0;0:00;No;01:29:26.42;1;26.0;1:29:23;1:29:26;329;515
Carrera;27/01/2022 9:34;false;Santa Brígida Carrera;10.01;860;0:56:23;164;183;4.3;169;189;5:38;4:00;167;172;1.05;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;00:01.55;11;27.0;0:56:20;0:59:15;475;560
Trail running;22/01/2022 9:52;false;Santa Brígida Trail running;7.57;724;0:53:07;152;171;3.4;147;236;7:01;4:37;178;371;0.97;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;53:07.18;1;27.0;0:52:46;0:53:23;419;783
Trail running;22/01/2022 7:51;false;Santa Brígida Trail running;10.45;1,149;1:43:07;148;173;3.5;108;238;9:52;4:37;645;488;0.94;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;01:43:06.58.5;1;27.0;1:32:49;1:43:07;548;879
Trail running;13/01/2022 9:07;false;Santa Brígida Trail running;12.05;1,177;1:18:19;163;182;4.6;164;206;6:30;4:28;339;357;0.94;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;18.0;0:00;No;01:18:19.09.9;1;29.0;1:18:19;1:18:19;374;502
Carrera;08/01/2022 18:58;false;Santa Brígida Carrera;5.01;406;0:29:02;153;174;3.1;167;181;5:48;4:04;61;86;1.03;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;00:01.64.6;6;26.0;0:29:01;0:29:24;459;512
Carrera;31/12/2021 18:09;false;Santa Brígida Carrera;6.01;448;0:31:04;159;179;3.4;168;186;5:10;3:39;82;79;1.15;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:01.36;7;27.0;0:30:57;0:32:09;469;517
Carrera;25/12/2021 19:12;false;Santa Brígida Carrera;10.03;802;1:04:17;150;176;3.1;165;183;6:25;3:45;177;189;0.94;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:04.18.2;11;30.0;1:04:10;1:06:24;490;592
Trail running;21/12/2021 8:36;false;Santa Brígida Trail running;11.80;1,129;1:26:01;154;177;3.5;155;236;7:17;4:56;345;351;0.88;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;01:26:00.63;1;25.0;1:25:49;1:26:01;409;530
Carrera;19/12/2021 17:04;false;Santa Brígida Carrera;6.76;591;0:44:19;150;176;3.1;166;187;6:33;4:02;137;136;0.92;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;04:55.61.7;7;27.0;0:44:16;0:44:19;825;926
Trail running;11/12/2021 7:25;false;Agaete Trail running;19.29;1,791;3:19:33;133;183;3.0;102;249;10:21;3:51;1,342;1,347;0.95;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;03:19:32.84;1;27.0;2:59:54;3:25:57;546;1.739
Trail running;04/12/2021 7:47;false;San Bartolomé de Tirajana Trail running;24.00;1,965;3:33:20;136;179;3.1;117;249;8:53;3:33;1,209;1,221;0.96;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;17.0;0:00;No;03:33:19.97.3;1;29.0;3:14:03;3:46:54;659;1.524
Carrera;27/11/2021 19:15;false;Santa Brígida - Series 400x6x1.3;8.86;676;0:53:55;148;169;3.0;159;204;6:05;2:46;65;62;1.02;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;00:08.87.8;20;25.0;0:53:43;0:53:55;821;858
Carrera;13/11/2021 18:12;false;Santa Brígida Carrera;10.01;711;0:51:19;153;172;3.6;173;189;5:08;3:09;168;180;1.13;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;00:01.36.5;11;26.0;0:51:13;0:51:48;834;916
Carrera;31/10/2021 18:22;false;Santa Brígida Carrera;5.02;362;0:25:19;152;179;3.2;174;187;5:03;3:25;47;70;1.14;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:02.59.2;6;26.0;0:25:15;0:25:19;445;475
Trail running;16/10/2021 8:38;false;San Bartolomé de Tirajana Trail running;29.16;2,752;5:28:00;140;167;3.3;99;249;11:15;4:19;1,486;1,195;0.90;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;05:28:00.17.7;1;34.0;5:03:57;5:28:20;830;1.812
Trail running;09/10/2021 8:00;false;Las Palmas de Gran Canaria Trail running;33.00;2,336;3:52:52;146;191;3.5;156;236;7:03;5:00;507;526;0.90;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:01.69.7;34;31.0;3:52:24;4:01:12;-6;489
Carrera;06/10/2021 7:45;false;Santa Brígida Carrera;10.02;815;0:59:37;154;174;3.4;171;187;5:57;4:26;170;174;0.99;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:04.94.1;11;29.0;0:59:35;0:59:37;443;545
Carrera;02/10/2021 20:58;false;Teror Carrera;11.30;906;1:06:33;152;179;4.0;161;249;5:53;3:15;344;348;1.05;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;01:14.93.3;12;28.0;1:06:26;1:06:33;503;677
Trail running;01/10/2021 8:39;false;Santa Brígida Trail running;13.01;1,145;1:28:09;152;179;3.4;160;213;6:47;4:38;327;345;0.92;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:05.53.5;14;30.0;1:26:48;1:30:03;291;474
Carrera;28/09/2021 8:12;false;Santa Brígida Carrera;11.25;920;1:06:17;157;182;3.8;168;189;5:53;4:08;165;172;1.01;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;01:33.62.9;12;30.0;1:05:01;1:09:02;420;527
Trail running;25/09/2021 7:54;false;Santa Brígida Trail running;20.00;1,755;2:45:24;150;177;3.5;141;240;8:16;4:11;850;865;0.85;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:01.62.6;21;29.0;2:45:11;2:45:24;357;810
Carrera;23/09/2021 10:14;false;Santa Brígida Carrera;10.38;898;1:02:36;158;178;3.7;170;187;6:02;3:48;175;185;0.98;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;26.0;0:00;No;02:41.59.3;11;30.0;1:02:29;1:02:36;443;547
Trail running;18/09/2021 8:55;false;Santa Brígida Trail running;18.80;1,977;3:07:46;150;183;4.2;119;240;9:59;4:41;845;851;0.83;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;26.0;0:00;No;06:08.02.6;19;31.0;2:54:38;3:09:45;396;844
Carrera;16/09/2021 20:09;false;Santa Brígida Carrera;5.01;396;0:30:47;143;173;2.9;168;221;6:09;3:50;95;109;0.97;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;00:01.74.8;6;29.0;0:30:44;0:30:47;474;577
Trail running;11/09/2021 7:33;false;Valsequillo de Gran Canaria Trail running;19.67;2,291;4:04:10;138;178;3.3;105;249;12:25;4:29;1,164;1,186;0.75;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;27.0;0:00;No;06:23.04.1;20;35.0;3:49:42;4:15:59;825;1.724
Carrera;07/09/2021 20:32;false;Santa Brígida Carrera;10.01;813;0:59:52;154;173;3.6;170;187;5:59;3:50;131;136;0.99;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;00:01.49.1;11;29.0;0:59:08;0:59:52;392;431
Trail running;03/09/2021 17:53;false;Santa Brígida Trail running;8.74;899;1:22:34;143;167;3.1;120;249;9:27;3:44;341;362;0.85;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;27.0;0:00;No;04:02.27.4;9;31.0;1:18:00;1:22:34;311;546
Carrera;16/08/2021 20:51;false;Santa Brígida Carrera;7.00;616;0:43:27;154;169;3.3;172;181;6:12;4:27;97;99;0.94;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;28.0;0:00;No;04:56.60.4;7;32.0;0:43:25;0:43:39;339;385
Trail running;02/08/2021 7:47;false;Santa Brígida Trail running;14.52;1,232;1:59:33;144;173;3.2;139;246;8:14;4:08;646;648;0.87;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;01:59:32.68.1;1;27.0;1:58:11;2:00:30;381;725
Carrera;27/07/2021 9:59;false;Santa Brígida - Series 400x6x1.3;8.41;662;0:53:41;147;169;2.8;145;211;6:23;2:31;72;67;1.14;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;00:07.76.9;20;30.0;0:47:15;0:53:41;374;407
Carrera;10/07/2021 19:50;false;Santa Brígida Carrera;8.00;634;0:45:09;153;172;3.4;174;191;5:39;4:10;123;137;1.02;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:01.07.5;9;29.0;0:45:00;0:46:28;373;424
Carrera;04/07/2021 20:12;false;Santa Brígida Carrera;5.01;310;0:25:09;138;173;2.6;177;213;5:01;4:02;48;61;1.13;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;00:03.16.1;6;30.0;0:25:03;0:25:32;373;401
Trail running;03/07/2021 7:56;false;Sta. M. Guía de G. Canaria Trail running;13.00;1,069;1:55:23;132;163;2.7;121;246;8:52;3:30;589;618;0.93;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;01:55:23.49;1;29.0;1:52:53;1:55:23;796;1.192
Trail running;26/06/2021 19:45;false;Santa Brígida Trail running;10.00;854;0:58:34;155;178;3.8;168;195;5:51;3:56;173;200;1.02;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;58:33.91;1;29.0;0:58:30;1:02:26;353;523
Carrera;22/06/2021 19:32;false;Santa Brígida - Series 400x6x1.3;8.16;698;0:54:25;149;179;3.0;145;200;6:40;3:07;77;80;1.14;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:10.55.3;20;29.0;0:47:46;0:54:25;494;537
Trail running;10/06/2021 20:01;false;Santa Brígida Trail running;6.76;633;1:04:51;133;155;2.2;155;184;9:36;4:15;77;106;0.67;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;27.0;0:00;No;01:04:50.92.8;1;29.0;1:03:56;1:04:51;346;452
Trail running;07/06/2021 19:30;false;Santa Brígida Trail running;10.00;906;1:04:36;153;185;3.9;160;203;6:28;3:53;171;199;0.97;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;01:04:36.47.7;1;27.0;1:03:33;1:04:36;329;510
Carrera;03/06/2021 17:01;false;Santa Brígida - Series 400x6x1.3;9.19;634;0:57:46;142;177;2.8;151;209;6:17;2:48;61;55;1.06;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:23.96.4;20;29.0;0:55:05;0:57:46;490;510
Trail running;20/05/2021 18:41;false;Santa Brígida - Series 400x6x1.3;10.16;807;1:09:16;148;169;3.1;140;199;6:49;2:58;149;199;1.11;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;01:28.93;15;29.0;1:03:14;1:09:59;340;516
Trail running;15/05/2021 16:52;false;Santa Brígida Trail running;15.02;1,36;2:10:41;147;174;3.4;132;234;8:42;4:10;745;744;0.87;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;02:10:40.78.2;1;30.0;2:10:18;2:13:07;504;841
Carrera;13/05/2021 18:14;false;Santa Brígida - Series 400x6x1.3;7.60;634;0:54:02;146;172;3.0;147;211;7:07;2:57;69;65;1.02;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:00.58.3;19;27.0;0:48:57;0:54:02;494;520
Carrera;09/05/2021 10:03;false;Las Palmas de Gran Canaria Carrera;5.01;378;0:26:11;159;170;3.3;175;194;5:14;3:49;44;56;1.09;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;00:01.42.4;6;27.0;0:25:52;0:26:11;313;348
Carrera;06/05/2021 19:39;false;Santa Brígida - 20x12x15;6.70;588;0:47:09;151;179;3.3;160;230;7:02;3:01;68;112;0.88;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:09.07.4;18;26.0;0:46:11;0:47:09;340;452
Trail running;02/05/2021 19:00;false;Santa Brígida Trail running;8.00;716;1:43:17;118;169;2.2;94;244;12:55;4:20;432;436;0.82;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;01:43:17.05.5;1;26.0;1:25:49;1:43:17;497;744
Trail running;23/04/2021 19:04;false;Santa Brígida Trail running;7.36;688;1:20:23;130;171;2.8;104;249;10:56;3:49;232;288;0.88;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;01:20:23.27.9;1;28.0;1:09:05;1:28:13;385;526
Trail running;17/04/2021 9:52;false;Arucas Trail running;18.20;1,451;2:52:11;136;167;2.9;117;249;9:28;4:03;816;847;0.91;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;02:52:10.96.4;1;32.0;2:46:46;2:53:35;196;836
Trail running;15/04/2021 19:04;false;Santa Brígida Trail running;6.81;495;0:37:25;147;168;2.9;165;249;5:30;3:09;69;111;1.10;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;37:24.64.2;1;27.0;0:37:24;0:46:25;338;451
Carrera;07/04/2021 11:33;false;32k Moya;31.37;0;1:59:20;0;0;--;0;0;3:48;0:58;1,567;1,562;0.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;0.0;0:00;No;01:59:20.00;1;0.0;1:59:20;1:59:20;472;1.75
Carrera;03/04/2021 16:28;false;Santa Brígida Carrera;5.01;417;0:31:30;150;160;3.0;162;214;6:17;3:57;93;90;0.98;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:02.61.1;6;28.0;0:31:10;0:31:30;475;555
Trail running;01/04/2021 12:30;false;Santa Brígida Trail running;10.02;943;1:07:01;158;186;4.3;157;230;6:41;3:59;197;196;0.95;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;01:07:00.70.7;1;31.0;1:07:01;1:08:09;325;502
Trail running;20/03/2021 7:40;false;San Bartolomé de Tirajana Trail running;33.34;2,978;6:16:10;130;168;3.2;102;250;11:17;2:49;1,814;1,822;0.87;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;06:16:09.75.9;1;30.0;5:46:58;6:28:55;941;1.706
Trail running;14/03/2021 7:36;false;Sta. M. Guía de G. Canaria Trail running;28.00;2,42;5:05:15;129;177;3.2;89;250;10:54;3:45;1,562;1,553;1.03;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;05:05:14.87.3;1;31.0;4:18:00;5:05:18;914;1.707
Trail running;07/03/2021 7:53;false;Gáldar Trail running;12.51;1,163;1:46:54;145;173;3.1;124;239;8:33;3:48;614;641;0.93;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;16.0;0:00;No;04:36.07.9;13;25.0;1:39:11;1:46:54;882;1.296
Carrera;06/03/2021 18:42;false;Santa Brígida Carrera;5.01;386;0:27:49;150;167;3.0;178;194;5:33;4:07;76;78;1.01;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;00:01.71.5;6;26.0;0:27:48;0:27:49;479;513
Trail running;02/03/2021 15:50;false;Santa Brígida Trail running;21.01;1,816;3:32:59;136;171;3.3;115;249;10:08;1:43;994;1,005;0.86;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:02.38.5;22;28.0;3:12:20;3:35:51;513;915
Carrera;18/02/2021 19:00;false;Santa Brígida Carrera;8.52;661;0:42:55;165;178;4.0;177;189;5:02;3:44;92;89;1.12;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;18.0;0:00;No;02:46.44.9;9;24.0;0:42:48;0:44:06;484;512
Carrera;11/02/2021 18:19;false;Santa Brígida Carrera;5.01;352;0:24:00;157;179;3.2;179;197;4:48;3:29;63;74;1.16;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;00:01.59.8;6;25.0;0:23:53;0:24:00;479;526
Carrera;08/02/2021 19:36;false;Santa Brígida Carrera;10.01;761;0:56:40;153;181;3.5;174;197;5:40;3:44;158;172;1.02;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;00:02.50.6;11;26.0;0:56:20;0:56:40;487;592
Trail running;06/02/2021 16:53;false;Santa Brígida Trail running;13.31;1,168;1:40:27;153;178;4.0;145;249;7:33;4:27;403;413;0.90;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;02:02.93.1;14;27.0;1:37:41;1:40:29;375;672
Carrera;04/02/2021 19:56;false;Santa Brígida Carrera;8.00;609;0:50:36;143;162;2.8;174;187;6:20;4:39;113;118;0.91;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;18.0;0:00;No;06:03.87.3;8;27.0;0:50:33;0:50:36;542;580
Trail running;31/01/2021 7:01;false;San Bartolomé de Tirajana Trail running;34.39;2,42;4:39:15;139;174;3.6;133;249;8:07;4:25;777;728;0.93;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;03:48.42.7;35;32.0;4:22:49;4:57:20;89;531
Carrera;26/01/2021 19:22;false;Santa Brígida Carrera;5.00;399;0:29:15;149;167;3.1;173;189;5:51;4:00;67;81;0.99;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;00:00.67;6;25.0;0:29:10;0:29:15;511;562
Trail running;24/01/2021 8:35;false;Santa Brígida Trail running;10.00;836;1:02:47;153;180;3.9;164;207;6:17;3:25;184;194;0.97;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;00:01.36.8;11;27.0;1:02:45;1:04:39;388;562
Trail running;22/01/2021 8:39;false;Santa Brígida Trail running;18.19;1,691;2:36:53;150;177;3.3;128;249;8:38;1:06;819;830;0.91;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;01:28.88;19;27.0;2:27:44;2:39:15;425;867
Carrera;21/01/2021 17:20;false;Santa Brígida Carrera;5.01;417;0:27:44;162;179;3.5;175;193;5:32;4:30;61;70;1.03;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:01.42.4;6;26.0;0:27:36;0:28:11;518;568
Carrera;19/01/2021 19:24;false;Santa Brígida Carrera;6.30;487;0:38:16;148;181;2.8;174;195;6:04;3:43;126;119;0.95;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;02:23.78.1;7;25.0;0:38:13;0:39:51;523;628
Carrera;13/01/2021 19:28;false;Santa Brígida Carrera;5.01;364;0:27:06;151;167;3.1;175;187;5:25;3:43;65;79;1.06;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;00:01.59.5;6;26.0;0:27:00;0:27:06;517;567
Carrera;11/01/2021 19:29;false;Santa Brígida Carrera;10.01;825;0:58:45;160;183;3.8;173;194;5:52;4:04;176;181;0.98;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;00:02.26.6;11;25.0;0:58:37;0:58:45;520;623
Carrera;09/01/2021 17:36;false;Santa Brígida Carrera;4.43;381;0:28:46;151;167;2.9;173;189;6:30;4:13;92;92;0.89;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;02:13.93.2;5;26.0;0:28:40;0:28:46;544;631
